tick,event
16828,LOG_FILE_BEGIN,seq=1
24248,PPG_ALIVE,irq=1,intwake=0,towake=1,todrain=1,last=8,ok=8,fail=0,empty=0,ov=1
25300,PPG_ALIVE,irq=15,intwake=14,towake=1,todrain=1,last=1,ok=42,fail=0,empty=0,ov=2
26332,PPG_ALIVE,irq=28,intwake=27,towake=1,todrain=1,last=1,ok=55,fail=0,empty=0,ov=2
27366,PPG_ALIVE,irq=41,intwake=40,towake=1,todrain=1,last=1,ok=68,fail=0,empty=0,ov=2
28397,PPG_ALIVE,irq=54,intwake=53,towake=1,todrain=1,last=1,ok=81,fail=0,empty=0,ov=2
29430,PPG_ALIVE,irq=67,intwake=66,towake=1,todrain=1,last=1,ok=94,fail=0,empty=0,ov=2
30462,PPG_ALIVE,irq=80,intwake=79,towake=1,todrain=1,last=1,ok=107,fail=0,empty=0,ov=2
31495,PPG_ALIVE,irq=93,intwake=92,towake=1,todrain=1,last=1,ok=120,fail=0,empty=0,ov=2
32527,PPG_ALIVE,irq=106,intwake=105,towake=1,todrain=1,last=1,ok=133,fail=0,empty=0,ov=2
33561,PPG_ALIVE,irq=119,intwake=118,towake=1,todrain=1,last=1,ok=146,fail=0,empty=0,ov=2
34592,PPG_ALIVE,irq=132,intwake=131,towake=1,todrain=1,last=1,ok=159,fail=0,empty=0,ov=2
35625,PPG_ALIVE,irq=145,intwake=144,towake=1,todrain=1,last=1,ok=172,fail=0,empty=0,ov=2
36656,PPG_ALIVE,irq=158,intwake=157,towake=1,todrain=1,last=1,ok=185,fail=0,empty=0,ov=2
37688,PPG_ALIVE,irq=171,intwake=170,towake=1,todrain=1,last=1,ok=198,fail=0,empty=0,ov=2
38720,PPG_ALIVE,irq=184,intwake=183,towake=1,todrain=1,last=1,ok=211,fail=0,empty=0,ov=2
39752,PPG_ALIVE,irq=197,intwake=196,towake=1,todrain=1,last=1,ok=224,fail=0,empty=0,ov=2
